TRUE,question,janru,When,FALSE,FALSE,FALSE,https
a=情報システム部門b=ベンダc=システム要件,提案依頼書は通常，aが，bに対して，c，調達条件などを提示する文書,ストラテジ,平成31年春期 問16,a=情報システム部門b=ベンダc=ベンダ,a=情報システム部門b=ベンダc=標準化（標準化はメーカーを意識することなく印刷ができる技術である。),a=情報システム部門b=ベンダc=ユビキタス（ユビキタスとはいつでもどこでもアクセス可能な通信ネットワーク),null
システムに盛り込む業務ルールの誤った解釈,要件定義プロセスの不備に起因する問題は,ストラテジ,平成31年春期 問17,システム開発作業の委託先の不適切な選定手続,システム開発案件の優先順位の誤った判断,製品やサービスの品質イメージを連想させることで競争優位性をもたらすコーポレートブランドを使うこと,null
特定の分野に関心のある複数の企業などが集まって結成した組織が，規格として作ったもの,フォーラム標準とは,ストラテジ,令和5年春期 問10,特定の企業が開発した仕様が広く利用された結果，事実上の業界標準になったもの,公的な標準化機関において，透明かつ公正な手続の下，関係者が合意の上で制定したデジュール標準,デジタルサイネージのような広告,null
BPMN=ビジネスプロセスをワークフローとして視覚的に表現するための手法です,OMGによって維持されており，国際規格ISO/IEC 19510として標準化されているビジネスプロセスのモデリング手法及び表記法は,ストラテジ,令和5年春期 問23,"BABOK=""ビジネス分析""のノウハウやベストプラクティスを体系化したビジネスアナリシス知識体系ガイド",BPO=自社のコアビジネス以外の業務の全部または一部を外部の業者に委託することです。,定量発注方式=最適な発注量は，発注費用と在庫維持費用の総額が最小となる場合である。,null
企業の未公開の株式を，新たに公開することを表す用語,IPOとは,ストラテジ,令和5年春期 問28,キャッシュフローを担保に資金を調達して買収をすること,LBO,VC＝大きな成長の見込みがある未上場の企業に対し、出資を行う投資会社です。,null
技術に立脚する事業を行う企業が，技術開発に投資してイノベーションを促進し，事業を持続的に発展させていく経営の考え方のことである。,MOTの説明として，適切なものはどれか。,ストラテジ,平成22年秋期 問27,合併や買収などによって他社の全部又は一部の支配権を取得することである。,M&Aは他社の全部又は一部の支配権を取得することである。,株式を買い取り，経営権を取得することである。MBO,null
クレジットカードの暗証番号を規定回数連続で間違えて入力した場合に，利用できなくなるようにする。，,ロックアウトとは,ストラテジ,令和3年春期 問13,障害発生時には即時にバックアップシステムに切り替える。,障害発生時にフォールトトレラントシステムが発動する。,株式売買を行うときに，顧客に合った投資信託を提案したり自動で資産運用を行うFinTech,null
要件定義プロセス,利用者及び他の利害関係者が必要とするシステムの機能を明確にし，合意を形成するプロセスは,ストラテジ,令和3年春期 問14,受注予測の精度を上げて，製品の在庫量を適正に維持することが求められる見込み生産方式,キャッシュフローの減少要因は売掛金の増加,受注生産方式では最低限の在庫しか持ちません,null
クラス図などがあるUML,業務の流れを，図式的に記述する方法は?,ストラテジ,平成22年春期 問29,似ている言葉を結びつける親和図法,データベースを作成する際の設計図E-R図,目標や問題を発見するロジックツリー,https://itpassport-study.tokyo/entity-relationship-diagram/
企業名などから製品やサービスの品質イメージを連想させることで競争優位性をもたらすことである。,コーポレートブランドを高める目的とは,ストラテジ,平成31年春期 問21,企業が有する独自のスキルや技術に基づいて，競合他社では提供が不可能な価値を顧客にもたらすこと,競合他社では提供が不可能な価値を顧客にもたらすことをコアコンピタンス経営という,コアコンピタンス経営,null
会社法、金融商品取引法,内部統制の整備を要請しているものだけを選んでください。,ストラテジ,平成30年春期 問26,労働者派遣法,SFAは営業部門の組織力強化や営業活動の効率化を実現するために導入する情報システムである。,MRPは部品表と生産計画をもとに必要な資材の所要量を求めます。,null
A=T →B=A→T=B,変数Tを変数Aと変数Bに送る。,ストラテジ,平成22年春期 問53,A=T →B=A→ C=B,B=T →B=A T=B,B=T →B=A→A=B,null
消費者が製品を購入してから，使用し廃棄するまでに要する費用,バリューエンジニアリングの観点での総コストの説明として，適切なものは,ストラテジ,平成29年春期 問30,インターネットに接続する通信ネットワークを提供する事業者はISP,業務用のアプリケーションをインターネットを通じて、顧客にレンタルする事業者ASP,クラウドサービスSaaS,null
経営トップの目標を事業部，部，課などの目標に順次展開し，それを実施計画につなげて目標達成のために継続的な改善を進めていく活動,総合的品質管理(TQM又はTQC)の重要な手法の一つである方針管理とは,ストラテジ,平成25年春期 問14,現場で発生している問題を解決するために，関連する職場の人々がチームを作り，計画を立てて改善を進めるQCサークル,業務改善のための課題を洗い出し，既にその課題に取り組んでいる最良の他社から学ぶベンチマーキング,総当たりの攻撃ブルートフォースアタック,null
ISO 14000は環境マネジメントです。,ISOが定めた環境マネジメントシステムの国際規格は,ストラテジ,平成29年秋期 問10,,ISO 9000は品質マネジメントです。,出社した従業員が空いている席を使って仕事を行うオフィスの形態はフリーアドレスです。,null
コンピュータ資源の提供に関するサービスモデル,クラウドコンピューティングとは,ストラテジ,平成30年秋期 問9,インターネットの通信プロトコル,売上高-売上原価=売上総利益,売上総利益-販売管理費=営業利益,null
重要成功要因,バランススコアカードを用いて戦略立案する際，策定した戦略目標ごとに，その実現のために明確化する事項,ストラテジ,平成30年秋期 問18,ビジョン,企業倫理,戦略マップの作成,null
情報技術を利用して業務遂行のために情報を活用することのできる能力,情報リテラシーとは,ストラテジ,平成25年秋期 問24,企業内の情報を一括して管理し必要な情報を検索・抽出できるシステム,公共施設などに地方自治体が設置し行政手続きや公共的な案内などに利用する端末,行政キオスク端末がないと企業内検索(エンタープライズサーチ)システムは使えない。,https://www.itpassportsiken.com/kakomon/25_aki/q24.html
機能を実現するために考え出された独創的な発明,特許法による保護の対象となる選択肢は,ストラテジ,令和2年秋期 問16,新製品の形状，模様，色彩など，斬新的な発想で創作されたデザイン,新製品発表に向けて考え出された新製品のブランド名,商品の名称やロゴマークなどを保護する商標権,null
氏名などの個人情報が電子掲示板に掲載されて，個人の権利が侵害された。,プロバイダの対応責任の対象となる選択肢は,ストラテジ,令和3年春期 問17,納品書，検収書，請求書,支払までに発注側と受注側の間で交わされる書類の組合せを考えること,無断で利用者IDとパスワードを使われて，ショッピングサイトにアクセスされた。,https://www.itpassportsiken.com/kakomon/03_haru/q33.html
自己資本比率(%)＝自己資本／総資本×100,貸借対照表から求められる，自己資本比率は何%？,ストラテジ,平成30年春期 問11,純資産の部は自己資本と呼ばれることもあります。,負債の部は他人資本と呼ばれることもあります。,総資本=他人資本+自己資本,https://www.itpassportsiken.com/ipkakomon.php
インターネット機能を付けれるIOT,電力会社において，人による検針の代わりに，インターネットに接続された電力メーターと通信することができる仕組みとは,ストラテジ,令和2年秋期 問8,電子商取引のためのメッセージを通信回線を介して異なる組織間で交換するEDI,企業や家庭のコンピュータをインターネットに接続するインターネット接続事業者ISP,数cm～数mの範囲で情報のやり取りを行うRFID,null
請負契約ではB社に帰属し，派遣契約ではA社に帰属する。,設計までA社で行った開発を，請負契約に基づきB社に委託して行う。著作権が会社間の契約で定められていないとき，著作権の帰属先は,ストラテジ,令和2年秋期 問12,請負契約ではA社に帰属し，派遣契約ではA社に帰属する。,不正な利益を得ようとして，他社の商品名や社名に類似したドメイン名を使用する人,不正競争防止法で規制される人,null
製品，システム，サービスなどの利用場面を想定したり，実際に利用したりすることによって得られる人の感じ方や反応,UX(User Experience)とは,ストラテジ,令和2年秋期 問18,指定された条件の下で，利用者が効率よく利用できるソフトウェア製品の能力,できる限り多くの人が等しく利用しやすいように配慮したソフトウェア製品の設計,顧客データの分析を基に顧客を識別しインターネットなどのチャネルを用いて顧客との関係を深める手法,null
生産ラインが必要とする部品を必要となる際に入手できるように発注し，仕掛品の量を適正に保つ。,リーン生産方式とは,ストラテジ,平成31年春期 問15,自社で生産ラインをもたず，他の企業に生産を委託する。,一つの製品の製造開始から完成までを全て一人が担当し，製造中の仕掛品の移動をなくす。,セル生産方式,https://www.itpassportsiken.com/kakomon/31_haru/q15.html
顧客や従業員の目標を達成できるように動機付けるゲーミフィケーション,ゲーミフィケーションとは,ストラテジ,平成31年春期 問33,自分の戦略を決定するゲーム理論,他の企業に生産を委託するファブレス,情報システム部門が、ベンダーに対して、調達条件などを提示するシステム開発,https://www.itpassportsiken.com/kakomon/31_haru/q16.html
氏名などの個人情報が書込みサイトに掲載されて，個人の権利が侵害された。,プロバイダ責任制限法によって，プロバイダの対応責任の対象となることは,ストラテジ,平成30年春期 問30,受信した電子メールの添付ファイルによってウイルスに感染させられた。,送信に同意していない宣伝用の電子メールが幾度となく送られてきた。,無断でIDとパスワードを使われて，ショッピングサイトにアクセスされた。,null
グループウェア,A社では営業部員の行動予定を把握したいときに使うソフトウェアとは,ストラテジ,平成30年春期 問13,顧客に関するあらゆる情報を統合管理するCRMソフトウェア,企業全体の経営資源を有効かつ総合的に計画・管理するERPソフトウェア,生産から販売に至る一連の流れ全体の効率を大幅に向上させるSCMソフトウェア,null
20,特許法における特許権の存続期間は出願日から何年,ストラテジ,平成30年春期 問16,15,30,30000,null
図の左半分:資産、右上が負債、右下が純資産,貸借対照表として正しいのは,ストラテジ,平成29年秋期 問3,図の左上が費用、左下が利益、右が収益,図に左上と左下がある場合は損益計算書である,図の左が資本金の部、右上が負債の部、右下が資産の部,
電子商取引において売主と買主を仲介するエスクロー,信頼のおける第三者が介在することによって，安全性を保証するサービスとは,ストラテジ,平成29年秋期 問4,広告を載せているWebサイトの主に広告掲載の対価となる報酬を支払うアフィリエイト,最も安い価格を提示した売り手と取引ができる逆オークション,客に対して、高い信頼や強い愛着を持たせるソーシャルネットワーキングサービス,https://www.itpassportsiken.com/kakomon/29_aki/q5.html
原材料の数に対する完成品の割合を多くするBPM,PDCAサイクルを継続的に適用し、製造部門における歩留りの向上を実現する用語を何という,ストラテジ,平成29年秋期 問6,ASP 業務用のアプリケーションをインターネットを通じて、顧客にレンタルする事業者provider,業務効率の向上や業務コストの削減を目的に、対象の業務プロセスを全て外部委託するBPO,SFA Sales Force Automation営業活動にICT技術を活用し、営業の質と効率を高める考え方。,
経営戦略,継続的成長を達成するため売上が低迷している事業領域Aから撤退し，その経営資源を事業領域Bを強化するために投入する。これは何に該当する？,ストラテジ,平成29年秋期 問25,経営ビジョン,経営環境,経営理念,
要件定義,利害関係者の合意が必要なプロセス,ストラテジ,平成29年秋期 問30,保守・運用,開発,企画,
4P,売り手側の視点を分類したもの,ストラテジ,平成29年春期 問2,Customer,PPM,SWOT経営環境を、強み・弱み・機会・脅威に分類したもの,
売掛金の増加,キャッシュフロー計算書において，キャッシュフローの減少要因となるものは,ストラテジ,平成28年秋期 問11,キャッシュフローの増加要因でもある減価償却費の増加,キャッシュフローはお金の流れである。,答えはない,
主成分分析,データを分析することによって販売数量の変化を説明することを考える時に説明に使用するパラメータをできるだけ少数に絞る方法はどうすればいい？,ストラテジ,令和5年春期 問6,ABC分析,クラスター分析,複数の異なるものが混ざり合っている対象の中から、類似したものを集めて分けるためクラスター分析と呼ばれます。,
最適な発注量は，発注費用と在庫維持費用の総額が最小となる場合である。,需要量が年間を通じて安定している場合において，定量発注方式に関する記述として，最も適切なもの,ストラテジ,令和5年春期 問24,発注回数の多寡で比較したとき，発注回数の多い方が商品を保管するスペースを広くする必要がある。,APIエコノミーが利用されるとき,企業との協業を促進しながら新しいサービスを創出することなどで，ビジネスを拡大していく仕組み,https://www.itpassportsiken.com/kakomon/05_haru/q31.html
ダイバーシティマネジメント,企業が，異質，多様な人材の能力，経験，価値観を受け入れることによる価値創造力の向上を図るマネジメント手法とは,ストラテジ,令和元年秋期 問15,カスタマーリレーションシップマネジメントCRM,ナレッジマネジメントKM創造的な仕事につなげることを目指す経営管理手法,バリューチェーンマネジメント どのように価値が創造されるか、また高い価値と思われる行動,
営業秘密でないといけない不正競争防止法,営業秘密とするための要件を定めている法律はどれ,ストラテジ,令和元年秋期 問20,本人の承諾なしで不正アクセスにつながる助長行為の禁止を定めた不正アクセス禁止法,特定商取引法 購入者を保護するために事業者が守るべき義務を定めた法律,どのように価値が創造されるか、また高い価値と思われる行動であるバリューチェーンマネジメント,
Business Continuity Management計画を行うため試験運用と見直しと維持管理を行う。,BCMとは,ストラテジ,平成27年秋期 問7,サプライチェーンマネジメントとは原材料の調達から製造、販売までを一元管理し、全工程を最適化するための経営管理手法,BCP Business Continuity Plan業務を早期に復旧・再開できるようにするための行動計画,BPR Business Process Reengineeringビジネスルールを抜本的に見直しすること,https://it-trend.jp/scm/article/explain
UML,業務の流れを，図式的に記述することができるのは,ストラテジ,平成22年春期 問29,E-R図,ロジックツリー,親和図法,
業務に必要なデータを検索し，目的に合わせて活用できること,情報リテラシーに該当するものは,ストラテジ,平成28年春期 問7,過去の文書や設計図を電子ファイル化して，全社で共有すること,スキャナー,板状のデバイスに電子ペンを用いてコンピューター本体に情報を送ることができるディジタイザ,
欠品率,重要な目標にて販売の機会損失の低減を評価するのに必要な指標は？,ストラテジ,平成25年秋期 問14,売上債権回転期間,売上高利益率,新規顧客獲得数,
業務プロセスモデル=DFD データモデル=E-R図,業務をモデリングする際のモデリング手法の適切な組合せは,ストラテジ,平成22年秋期 問31,業務プロセスモデル=DFD データモデル=PERT図,業務プロセスモデル=E-R図 データモデル=DFD,新規顧客獲得数,
必要なシステム化の範囲，システム構成及び基本的なアーキテクチャが決定されている。,企画プロセスの完了時の状態として適切なものは,ストラテジ,平成25年秋期 問19,ソフトウェアの要件が決定されている場合、開発プロセスで決定される事項だ,システム要件に照らして最適化されたソフトウェアの要件が決定されている。,対象システムを含む業務や運用のための組織に関する要件が決定されている。,https://www.itpassportsiken.com/kakomon/25_aki/q19.html
医療や交通システムなどの様々な領域で，インターネットやAIを活用して，サービスの自動化と質の向上を図ること,第4次産業革命とは,ストラテジ,令和5年春期 問35,第1次産業革命は織機など，軽工業の機械の動力に蒸気エネルギーを利用することで，人手による作業に比べて生産性を高める。,第3次産業革命は産業用ロボットを工場に導入することによって，生産の自動化と人件費の抑制を行う。,工場においてベルトコンベアを利用した生産ラインを構築することで工業製品の大量生産を行う。,
原稿がない即興の講演であっても著作権は，講演者に帰属する。,著作権の帰属に関する説明を選んでください,ストラテジ,平成25年春期 問13,映画の著作権は，その原作者だけに帰属する。,憲法や法令，裁判所の判決の著作権は，国や地方公共団体に帰属する。,権利が地方公共団体に帰属することもありません。,
リーダー企業の製品を参考にして，コストダウンを図り，低価格で勝負する。,フォロワーのとる競争戦略とは？,ストラテジ,平成22年秋期 問7,その領域での専門性を極めることによってブランド力を維持するニッチ戦略というものがある。,チャレンジャー企業のとる差別化戦略です。,トップシェアの奪取を目標として，リーダー企業との差別化を図った戦略を展開する。,
新システムの利用部門の責任者,新システムの開発に当たって実施する業務要件の定義に際し，必ず合意を得ておくべき関係者,ストラテジ,平成27年秋期 問25,データマイニングの責任者,現行システムの保守ベンダーの責任者,収集された情報のなかから傾向や関連性を見出す責任者,
自己資本に対して，どれだけの利益を生み出したかを表す指標,ROEとは,ストラテジ,平成25年秋期 問3,現在の株価が，前期実績又は今期予想の1株当たり利益の何倍かを表す指標はPER,株主だけでなく，債権者も含めた資金提供者の立場から，企業が所有している資産全体の収益性を表すROA,当期純利益,
システム開発の対象である業務の仕組みやプロセス,情報システムの開発の際に作成される業務モデルが表現しているものは,ストラテジ,平成26年春期 問6,新規に開発する業務システムのシステム要件,現行の業務プロセスと導入予定のERPパッケージが前提とする業務プロセスとの差異,,
PoC Proof of Concept,理論、原理を実証するために行われる小規模な実現や研究的な実験のことを何という,ストラテジ,令和4年春期 問35,SoE Systems of Engagement,SoR Systems of Record,IoT Internet of Things,
A社製品の限界利益率の把握,内部環境の分析に該当するものは,ストラテジ,平成23年特別 問7,A社製品の市場価格の調査,A社製品の代替品の市場調査,A社製品の競り合い製品の特徴の洗出し,
市場占有率=顧客の指標,BSCで顧客の視点に関する業績評価指標とは,ストラテジ,平成22年春期 問20,特許取得件数=学習と成長の指標,キャッシュフロー=財務の指標,開発効率=ビジネスの指標,
商品の製造会社,JANコード中にデータとして組み込まれている情報は？,ストラテジ,平成22年春期 問22,商品の製造費,商品のロット番号,期待値を大きくする=広告する,https://www.itpassportsiken.com/kakomon/23_aki/q24.html
業務プロセス,バランススコアカードの四つの視点のうち歩留り率を設定する視点は,ストラテジ,平成26年春期 問23,学習と成長,顧客,財務,https://www.itpassportsiken.com/kakomon/26_haru/q23.html
公開鍵暗号方式,暗号化に関する記述は？,ストラテジ,平成21年春期 問77,電子署名には，公開鍵暗号方式が使われるわけではない,共通鍵暗号方式では，暗号文と共通鍵を同時に送信する。,暗号文を平文に戻すことをリセットという。,https://www.itpassportsiken.com/kakomon/21_haru/q77.html
特定の企業やグループなどが採用した仕様が広く使用されるようになり，事実上の業界標準になったもの,デファクトスタンダード,ストラテジ,平成21年秋期 問1,工業や科学技術に関して，国際標準化機構が定めた規格,特定の国や企業などに限られた基準ではなく，世界中どこでも適用される規格,電子技術分野を除く全産業分野の国際標準規格を策定するISOがある。,https://www.itpassportsiken.com/word/ISO.html
自社で工場を持たずに、他の企業に生産委託する企業形態,ファブレスとは,ストラテジ,平成21年秋期 問8,製品の設計、試作、製造を一括して生産受託するODA,製品の企画から製造、販売までの機能を垂直統合した製造小売業のこと,サービス提供事業者が、利用者のサーバを自社の建物内に設置し運用するハウジングサービス,https://www.itpassportsiken.com/kakomon/21_aki/q6.html
企業目標の達成に向けて行われる活動の実行状況を計るために設定する重要な指標,KPIとは,,平成27年春期 問6,経営計画で設定した目標を達成するための最も重要な要因,経営計画や業務改革が目標に沿って遂行され，想定した成果を挙げていることを確認する行為,商品やサービスの価値を機能とコストの関係で分析し，価値を向上させる手法,
外部環境要因,機会と脅威は,,平成21年秋期 問16,内部環境,強みと弱み,顧客が準備するハウジングサービス,https://www.itpassportsiken.com/word/SWOT%E5%88%86%E6%9E%90.html

